at station,battery level,carried weight,carried light,carried heavy,conveyor light,conveyor heavy,Decision
CHARGE1, 100,0,0,0,4,1,move to CONVEYOR_LIGHT!
OTHER, 98,0,0,0,4,1,move to CONVEYOR_LIGHT!
OTHER, 96,0,0,0,5,1,move to CONVEYOR_LIGHT!
OTHER, 94,0,0,0,5,1,move to CONVEYOR_LIGHT!
OTHER, 92,0,0,0,5,1,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 90,0,0,0,5,1,pick!
CONVEYOR_LIGHT, 88,2,1,0,4,1,pick!
CONVEYOR_LIGHT, 86,4,2,0,3,1,pick!
OTHER, 100,0,0,0,0,0,idle!
OTHER, 99,0,0,0,0,0,idle!
OTHER, 98,0,0,0,1,1,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 96,0,0,0,1,1,pick!
CONVEYOR_LIGHT, 94,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 93,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 92,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 91,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 90,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 89,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 88,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 87,2,1,0,1,2,pick!
CONVEYOR_LIGHT, 85,4,2,0,0,2,move to CONVEYOR_HEAVY!
OTHER, 83,4,2,0,0,2,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 81,4,2,0,0,2,pick!
CONVEYOR_HEAVY, 79,8,2,1,1,1,move to DELIVERY!
OTHER, 77,8,2,1,1,1,move to DELIVERY!
OTHER, 75,8,2,1,1,1,move to DELIVERY!
DELIVERY, 73,8,2,1,1,1,place!
DELIVERY, 71,0,0,0,1,1,move to CONVEYOR_LIGHT!
OTHER, 69,0,0,0,1,1,move to CONVEYOR_LIGHT!
OTHER, 67,0,0,0,1,1,move to CONVEYOR_LIGHT!
CONVEYOR_LIGHT, 65,0,0,0,1,1,pick!
CONVEYOR_LIGHT, 63,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 62,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 61,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 60,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 59,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 58,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 57,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 56,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 55,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 54,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 53,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 52,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 51,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 50,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 49,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 48,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 47,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 46,2,1,0,0,1,idle!
CONVEYOR_LIGHT, 45,2,1,0,1,1,pick!
CONVEYOR_LIGHT, 43,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 42,4,2,0,0,1,idle!
CONVEYOR_LIGHT, 41,4,2,0,1,1,pick!
CONVEYOR_LIGHT, 39,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 38,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 37,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 36,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 35,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 34,6,3,0,0,1,idle!
CONVEYOR_LIGHT, 33,6,3,0,0,2,move to CONVEYOR_HEAVY!
OTHER, 31,6,3,0,0,2,move to CONVEYOR_HEAVY!
CONVEYOR_HEAVY, 29,6,3,0,0,2,pick!
CONVEYOR_HEAVY, 27,10,3,1,0,2,move to DELIVERY!
OTHER, 25,10,3,1,0,3,move to DELIVERY!
OTHER, 23,10,3,1,0,3,move to DELIVERY!
